"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"PROD_ID";"SF_ID";"VALUE";
"IC3";"SN74LVC1G66";"74LVC1G66";"SOT23-5";"SN74LVC1G66 - SPST NO Analog Switch";"";"";"";"";"";"";"";"IC-13549";"";"SN74LVC1G66";
"IC4";"SN74LVC1G66";"74LVC1G66";"SOT23-5";"SN74LVC1G66 - SPST NO Analog Switch";"";"";"";"";"";"";"";"IC-13549";"";"SN74LVC1G66";
"INPUT";"";"CONN_03X2SHROUD";"2X3-SHROUDED";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"CONN-10681";"PRT_10877";"";
"JP_GND";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";
"JP_GND1";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";
"JP_GND2";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";
"JP_GND3";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";
"OUTPUT";"";"CONN_05X2SHD_LOCK";"2X5-SHROUDED_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"CONN-08671";"PRT-08506";"";
"R1";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R2";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R3";"470k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R4";"470k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R5";"2k2";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R6";"470k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R7";"470k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R9";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R10";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R11";"5k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R12";"5k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R13";"5k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R14";"5k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R15";"270";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R16";"270";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R17";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R18";"2k2";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R20";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
